date,Florianópolis,Itajaí,Criciúma,Blumenau,Braço do Norte,Balneário Camboriú,Tubarão,São José,Fora de SC,Joinville,Imbituba,Chapecó,Camboriú,Porto Belo,Navegantes,Gravatal,Siderópolis,Rancho Queimado,Jaraguá do Sul,Jaguaruna,Timbé do Sul,Tijucas,São Pedro de Alcântara,São Ludgero,São Lourenço do Oeste,Pomerode,Laguna,Lages,Itapema,Içara,Gaspar,Canelinha,Antonio Carlos,Balneário Arroio do Silva,TOTAL
2020-03-12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2020-03-13,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
2020-03-14,2,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,5
2020-03-15,2,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,6
2020-03-16,3,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,7
2020-03-17,3,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,7
2020-03-18,5,,,,2,2,2,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,14
2020-03-19,6,,,,4,4,2,1,,2,,,,,,,,2,,,,,,,,,,,,,,,,,21
2020-03-20,8,1,1,,4,4,2,1,,2,1,,,,,,,2,1,,,,,,,1,,,,,,,,,28
2020-03-21,10,6,6,,6,6,6,2,,4,2,2,,,1,1,,2,1,1,,,,,,1,,,,,,,,,57
2020-03-22,10,7,7,6,7,6,6,3,,4,2,2,,,1,1,,2,1,1,,,,,,1,,1,,,,,,,68
2020-03-23,15,7,9,7,9,6,7,4,,4,2,2,,2,1,2,,2,2,1,,,,,,1,,1,,1,1,,,,86
2020-03-24,20,10,9,7,9,9,9,6,,4,4,3,,2,3,2,,2,2,2,,1,,,,1,1,1,,1,1,,,,109
2020-03-25,16,12,11,9,9,7,8,5,8,5,4,2,2,2,3,3,,2,2,2,,1,1,1,,1,1,1,,1,1,1,,1,122
2020-03-26,20,16,12,12,9,8,8,8,8,7,5,4,4,3,3,3,2,2,2,2,1,1,1,1,,1,,1,1,1,1,1,,1,149
2020-03-27,27,18,12,12,9,9,8,8,8,8,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,163
